Company,num_emp
Wells Fargo Bank,235178
JPMorgan Chase Bank,184478
Citibank,159430
Bank of America,145245
U.S. Bank,70030
PNC Bank,51293
The Bank of New York Mellon,40399
Branch Banking and Trust Company,35630
State Street Bank and Trust Company,30675
Capital One,29295
TD Bank,25219
SunTrust Bank,22543
Regions Bank,21350
Capital One Bank (USA),20881
KeyBank,18981
Fifth Third Bank,17793
The Northern Trust Company,16813
Manufacturers and Traders Trust Company,16075
The Huntington National Bank,15312
Citizens Bank,14669